course_title,price,num_subscribers,level_52,level_All Levels,level_Beginner Level,level_Expert Level,level_Intermediate Level,subject_Business Finance,subject_Graphic Design,subject_Musical Instruments,subject_Web Development,num_subscribers_log,price_norm
investing 101 the complete online investing course,200,5334,False,True,False,False,False,True,False,False,False,8.582044163735853,1.0
create your own hedge fund trade stocks like a fund manager,175,4005,False,False,False,False,True,True,False,False,False,8.295548516225763,0.875
learn mql5 build an 8currency hedging robot metatrader 5,150,2877,False,True,False,False,False,True,False,False,False,7.964850887447313,0.75
forex trading your complete guide to get started like a pro,140,1026,False,False,True,False,False,True,False,False,False,6.934397209928558,0.7000000000000001
python algo stock trading automate your trading,95,1165,False,False,True,False,False,True,False,False,False,7.061334366910438,0.47500000000000003
the forex robot incredible roi robot included,200,1843,False,True,False,False,False,True,False,False,False,7.519692404116539,1.0
the complete bitcoin course get 001 bitcoin in your wallet,45,8797,False,True,False,False,False,True,False,False,False,9.082279701908664,0.225
mastering high probability iron condor options trading,200,1030,False,True,False,False,False,True,False,False,False,6.93828448401696,1.0
the complete short course on ethereum,200,1041,False,True,False,False,False,True,False,False,False,6.948897222313312,1.0
options trading stocks proven toolbox for financial success,195,7884,False,False,False,False,True,True,False,False,False,8.972717499397138,0.975
forex trading az with live examples of forex trading,195,16900,False,False,True,False,False,True,False,False,False,9.735128070758227,0.975
introduction to finance accounting modeling and valuation,200,11441,False,True,False,False,False,True,False,False,False,9.345046074828474,1.0
beginner to pro in excel financial modeling and valuation,195,22257,False,True,False,False,False,True,False,False,False,10.01045677353337,0.975
the complete investment banking course 2017,195,8575,False,True,False,False,False,True,False,False,False,9.056722883310583,0.975
the complete financial analyst course 2017,195,24481,False,True,False,False,False,True,False,False,False,10.105693432635459,0.975
python for finance investment fundamentals data analytics,195,3811,False,True,False,False,False,True,False,False,False,8.245909264774093,0.975
financial modeling for startups small businesses,195,4991,False,False,True,False,False,True,False,False,False,8.515591910049263,0.975
options trading how to win with weekly options,115,7489,False,False,False,False,True,True,False,False,False,8.921324076511265,0.5750000000000001
black algo trading build your trading robot,200,20195,False,True,False,False,False,True,False,False,False,9.913239843978806,1.0
accounting financial statement analysis complete training,150,10042,False,True,False,False,False,True,False,False,False,9.21463115339334,0.75
cryptocurrency trading complete guide to trading altcoins,95,367,False,True,False,False,False,True,False,False,False,5.908082938168931,0.47500000000000003
forex robots expect to earn 175 pa forex robot included,200,10603,False,True,False,False,False,True,False,False,False,9.268986567408916,1.0
three steps trading live trading real account,190,1197,False,True,False,False,False,True,False,False,False,7.088408778675395,0.9500000000000001
option trading for rookies understand options completely,150,2893,False,True,False,False,False,True,False,False,False,7.970394907191429,0.75
how i learned stock trading and how you can too,200,1580,False,False,False,True,False,True,False,False,False,7.365812837209472,1.0
learn to trade for profit find and trade winning stocks,95,10605,False,True,False,False,False,True,False,False,False,9.269175157697076,0.47500000000000003
trading inside bars master 1 easy pattern to be successful,125,2996,False,False,False,False,True,True,False,False,False,8.005367067316664,0.625
four fundamentals of financial planning,30,6219,False,True,False,False,False,True,False,False,False,8.735525185733225,0.15
options trading calendar spread course for every trader,200,1113,False,True,False,False,False,True,False,False,False,7.01571242048723,1.0
dividend investing build your portfolio for a better future,60,8314,False,False,True,False,False,True,False,False,False,9.025816391627028,0.3
learn accounting understand business,200,5572,False,False,True,False,False,True,False,False,False,8.625688787569537,1.0
how to consistently win trading stocks in 30 days or less,145,1433,False,False,False,False,True,True,False,False,False,7.2682230211595655,0.725
a beginners guide to quantopian futures api,20,936,False,False,False,False,True,True,False,False,False,6.842683282238422,0.1
how to buy cheap options options trading pricing model,200,658,False,True,False,False,False,True,False,False,False,6.490723534502507,1.0
excel crash course master excel for financial analysis,105,8121,False,True,False,False,False,True,False,False,False,9.002331708246244,0.525
comprehensive guide to financial markets investing trading,60,4187,False,False,True,False,False,True,False,False,False,8.339978571990427,0.3
stock trading ninja complete system for trading success,155,9445,False,True,False,False,False,True,False,False,False,9.153346650456063,0.775
hedge and mutual fund careers the complete guide,200,3255,False,True,False,False,False,True,False,False,False,8.08825472712243,1.0
algorithmic trading in forex create your first forex robot,185,7941,False,True,False,False,False,True,False,False,False,8.979920411691197,0.925
the power modeling bootcamp advanced excel in 10 days,150,1680,False,True,False,False,False,True,False,False,False,7.427144133408616,0.75
options trading basics 3course bundle,180,10100,False,False,True,False,False,True,False,False,False,9.220389707829185,0.9
how to win 97 of your options trades,125,5050,False,True,False,False,False,True,False,False,False,8.527341522468053,0.625
how i make consistent returns trading options,200,2310,False,True,False,False,False,True,False,False,False,7.745435610274381,1.0
forex strategies kelly criterion larry williams and more,185,5528,False,True,False,False,False,True,False,False,False,8.617762246337932,0.925
elite trend trader learn to trade stocks options forex,125,6451,False,True,False,False,False,True,False,False,False,8.772145439245099,0.625
options trading introduction day trade stock options,95,12394,False,False,True,False,False,True,False,False,False,9.42504844446929,0.47500000000000003
the almost perfect options trading strategy system unique,200,1793,False,True,False,False,False,True,False,False,False,7.492203042618741,1.0
forex trading learn to trade forex like the banks,20,3223,False,True,False,False,False,True,False,False,False,8.07837810362652,0.1
learn to trade for profittrading with japanese candlesticks,60,16385,False,False,True,False,False,True,False,False,False,9.70418259070176,0.3
the most powerful options spread trading front ratio spread,200,1487,False,True,False,False,False,True,False,False,False,7.305188215393037,1.0
what finance job is for you explanation of 14 finance roles,200,2951,False,True,False,False,False,True,False,False,False,7.990238185720363,1.0
the blueprint for successful stock trading,120,2697,False,True,False,False,False,True,False,False,False,7.900266036767701,0.6
trading for beginners intermediate level,150,3979,False,False,True,False,False,True,False,False,False,8.289037098278483,0.75
start trading stocks using technical analysis,25,3190,False,True,False,False,False,True,False,False,False,8.068089626278244,0.125
learn how to set up an incubator hedge fund stepbystep,200,1406,False,False,False,True,False,True,False,False,False,7.249215057114389,1.0
vps for forex trading protect your forex robots,160,4252,False,True,False,False,False,True,False,False,False,8.355379895253634,0.8
introduction to accounting the language of business,20,11958,False,False,True,False,False,True,False,False,False,9.389239411968807,0.1
basic excel for basic bookkeeping and accounting,95,7743,False,False,True,False,False,True,False,False,False,8.954673628956414,0.47500000000000003
using the greeks to understand options,50,2134,False,True,False,False,False,True,False,False,False,7.666221925662725,0.25
trading options for consistent returns calendar spreads,200,1214,False,True,False,False,False,True,False,False,False,7.102499355774649,1.0
how to create your personal budget,20,3870,False,True,False,False,False,True,False,False,False,8.261268150577648,0.1
the complete value investing course a proven approach,200,2146,False,True,False,False,False,True,False,False,False,7.671826797878781,1.0
forex trading with price action,195,484,False,False,True,False,False,True,False,False,False,6.184148890937483,0.975
emini es futures advanced non directional options trading,200,1057,False,True,False,False,False,True,False,False,False,6.964135612418245,1.0
forex trading advanced fundamental analysis,20,1754,False,False,False,False,True,True,False,False,False,7.470224135899966,0.1
how to invest with tiny capital in stocks,20,1239,False,False,True,False,False,True,False,False,False,7.122866658599083,0.1
learn how to successfully trade stocks in 5 simple steps,95,2493,False,True,False,False,False,True,False,False,False,7.821643126239982,0.47500000000000003
test your knowledge in basics of accounting,30,1000,False,False,True,False,False,True,False,False,False,6.90875477931522,0.15
forex metatrader 4 master mt4 like a pro forex trader,150,2602,False,False,True,False,False,True,False,False,False,7.864419904994565,0.75
test your knowledge in cost accounting,30,999,False,True,False,False,False,True,False,False,False,6.907755278982137,0.15
intermediate options trading concepts for stocks and options,40,2000,False,True,False,False,False,True,False,False,False,7.601402334583733,0.2
options trading 101 the basics,0,1514,False,False,True,False,False,True,False,False,False,7.323170717943469,0.0
practical accounts app overview,20,1361,False,False,False,False,True,True,False,False,False,7.216709486709457,0.1
bitcoin profits for beginners,100,61,False,False,True,False,False,True,False,False,False,4.127134385045092,0.5
trend traders club how to find and trade fast moving trends,75,1513,False,True,False,False,False,True,False,False,False,7.322510433997394,0.375
financial statements basics,20,1374,False,False,True,False,False,True,False,False,False,7.226209010100671,0.1
high performance stock trading using key options techniques,40,2103,False,True,False,False,False,True,False,False,False,7.651595573857601,0.2
introduction to financial statement analysis,20,1480,False,False,True,False,False,True,False,False,False,7.300472814267799,0.1
basics of economics college level,25,2516,False,True,False,False,False,True,False,False,False,7.830822995135316,0.125
stock market investing for beginners,0,50855,False,False,True,False,False,True,False,False,False,10.836753388616245,0.0
accounting for beginners learn basics in under 1 hour,50,1971,False,False,True,False,False,True,False,False,False,7.586803535162581,0.25
straddle options trading profit in any market direction,200,837,False,True,False,False,False,True,False,False,False,6.731018100482083,1.0
fundamentals of forex trading,0,17160,False,True,False,False,False,True,False,False,False,9.750394646402302,0.0
binary options trading strategies 90 accuracy and signals,195,1723,False,False,True,False,False,True,False,False,False,7.452402451223638,0.975
website investing 101 buying selling online businesses,0,6811,False,True,False,False,False,True,False,False,False,8.826441041782578,0.0
practical accounts bookkeeping automated overview,20,2060,False,True,False,False,False,True,False,False,False,7.630946580890459,0.1
live account etf trading system hacking the stock market,150,2318,False,True,False,False,False,True,False,False,False,7.7488913372555315,0.75
stock market leverage how to start trading options wisely,95,2153,False,False,True,False,False,True,False,False,False,7.675081857716334,0.47500000000000003
stock market foundations,0,19339,False,False,True,False,False,True,False,False,False,9.869930769007285,0.0
crash course on working capital management,20,3177,False,True,False,False,False,True,False,False,False,8.064007347096661,0.1
advanced accounting a complete study for ca cma cfa cs,150,1535,False,True,False,False,False,True,False,False,False,7.336936913707618,0.75
61 profit in 1 month crush your forex trading paradigm,20,1027,False,True,False,False,False,True,False,False,False,6.93537044601511,0.1
how to create a routine trading,25,307,False,True,False,False,False,True,False,False,False,5.730099782973574,0.125
forex trading secrets mt4 robot ea inside no coding,150,2096,False,True,False,False,False,True,False,False,False,7.64826303090192,0.75
forex sos course trading tweaks and working forex strategy,50,1315,False,False,True,False,False,True,False,False,False,7.182352111885263,0.25
introduction to financial modeling,0,29167,False,False,False,False,True,True,False,False,False,10.280827496918445,0.0
quantitative aptitude for banking competitive examinations,50,1056,False,True,False,False,False,True,False,False,False,6.963189985870238,0.25
option spreads and credit spreads bundle,180,2212,False,False,False,True,False,True,False,False,False,7.70210434005105,0.9
b com accountancy i paper eco 02 ignou,50,2946,False,True,False,False,False,True,False,False,False,7.988542982737695,0.25
forex trading learn in a quick profitable way support,100,271,False,True,False,False,False,True,False,False,False,5.605802066295998,0.5
auditing basics professional course level,25,3771,False,True,False,False,False,True,False,False,False,8.235360643753348,0.125
stock market investing encyclopedia how to invest in stocks,200,3143,False,False,False,False,True,True,False,False,False,8.053251153549096,1.0
learn the basics of preparing accounting statements,20,1951,False,False,False,False,True,True,False,False,False,7.5766097669730375,0.1
elliott wave forex trading with the elliott wave theory,90,4022,False,False,False,True,False,True,False,False,False,8.299783171949787,0.45
corporate finance a brief introduction,0,11724,False,False,True,False,False,True,False,False,False,9.36947859331448,0.0
excel functions to analyze and visualize data,20,2283,False,False,False,False,True,True,False,False,False,7.7336835707759,0.1
building financial statements in excel,35,1181,False,False,True,False,False,True,False,False,False,7.074963197966044,0.17500000000000002
transfer pricing a complete analysis,50,1852,False,True,False,False,False,True,False,False,False,7.52456122628536,0.25
accounting get hired without work experience,100,4661,False,True,False,False,False,True,False,False,False,8.447199819595703,0.5
forex trading for beginners basics,50,989,False,True,False,False,False,True,False,False,False,6.897704943128636,0.25
basic bookkeeping hacks,20,5841,False,True,False,False,False,True,False,False,False,8.672828482947686,0.1
complete trading plan course for stocks forex 10 hours,200,1087,False,True,False,False,False,True,False,False,False,6.992096427415888,1.0
forex trading with fixed risk through options trading,200,611,False,False,True,False,False,True,False,False,False,6.416732282512326,1.0
intro to investment banking ma ipo modeling free book,60,1922,False,True,False,False,False,True,False,False,False,7.56164174558878,0.3
how to pick the right penny stocks to invest in 2017,150,9015,False,True,False,False,False,True,False,False,False,9.106756055719613,0.75
top 10 trading ideas in the equities market,20,661,False,True,False,False,False,True,False,False,False,6.495265555937008,0.1
intro to financial modeling,105,1077,False,False,True,False,False,True,False,False,False,6.982862751468942,0.525
shark accounting building a business by the numbers,20,6050,False,False,True,False,False,True,False,False,False,8.707978826622321,0.1
forex trading make your first trade today,150,3523,False,True,False,False,False,True,False,False,False,8.16735198705607,0.75
accounting in 60 minutes a brief introduction,0,56659,False,False,True,False,False,True,False,False,False,10.944823773384508,0.0
sap fico for beginners a guide to sap financial accounts,100,1444,False,False,True,False,False,True,False,False,False,7.275864600546533,0.5
learn how to double your forex trading account in one trade,60,2900,False,False,False,False,True,True,False,False,False,7.972810784121404,0.3
accounting superpowers learn accounts understand business,200,1437,False,False,True,False,False,True,False,False,False,7.271008538280992,1.0
python algo trading fx trading with oanda,200,453,False,False,False,False,True,True,False,False,False,6.118097198041348,1.0
save on your taxes,20,2437,False,True,False,False,False,True,False,False,False,7.798933310041217,0.1
financial model basics build a model from start to finish,30,5057,False,False,True,False,False,True,False,False,False,8.52872642722991,0.15
option trading for rookies the covered call option strategy,95,6092,False,False,True,False,False,True,False,False,False,8.714895850248494,0.47500000000000003
eft for stock options trading success making better trades,95,4530,False,True,False,False,False,True,False,False,False,8.418697944667139,0.47500000000000003
learn to trade the stock market without blowing your profits,60,6967,False,True,False,False,False,True,False,False,False,8.849083518532339,0.3
get a credit repair publication on amazon and live life,20,727,False,False,True,False,False,True,False,False,False,6.590301048196686,0.1
fundamentals of accounting,20,1560,False,True,False,False,False,True,False,False,False,7.353081920515432,0.1
rsi options trading technical analysis 3 course bundle,200,1047,False,True,False,False,False,True,False,False,False,6.954638864880987,1.0
basics of mutual funds for ca cma cs cfa exams,125,1045,False,False,False,False,True,True,False,False,False,6.952728644624869,0.625
accounting 101 how to read an accounting balance sheet,200,3050,False,False,True,False,False,True,False,False,False,8.02322468471667,1.0
stock options day trading mindset for success,200,2988,False,True,False,False,False,True,False,False,False,8.002694162283937,1.0
introduction to bookkeeping and accounting,35,2623,False,False,True,False,False,True,False,False,False,7.8724551500639794,0.17500000000000002
learn to trade the news,200,1924,False,True,False,False,False,True,False,False,False,7.562681246721884,1.0
value investing taught by six superinvestors,200,3804,False,True,False,False,False,True,False,False,False,8.244071270295786,1.0
trading for everyone the independent investor course i,120,4133,False,False,True,False,False,True,False,False,False,8.327000740241713,0.6
get acquired learn from the head of acquisitions for ebay,195,1420,False,True,False,False,False,True,False,False,False,7.259116128097101,0.975
stock market investment practical accounting,125,1120,False,False,True,False,False,True,False,False,False,7.02197642307216,0.625
how to remove risk from penny stocks options trading,200,668,False,True,False,False,False,True,False,False,False,6.505784060128229,1.0
accounting basics in 66 minutes absolutely for beginners,25,4086,False,True,False,False,False,True,False,False,False,8.315566483564277,0.125
tax accounting difficult topic made easy to understand,200,1033,False,True,False,False,False,True,False,False,False,6.9411900550683745,1.0
analysis of company financial statements,20,832,False,True,False,False,False,True,False,False,False,6.725033642166843,0.1
forex trading like banks step by step with live examples,195,677,False,True,False,False,False,True,False,False,False,6.519147287940395,0.975
fundamentals of investing,20,3125,False,False,True,False,False,True,False,False,False,8.047509510981422,0.1
bank financial management a comprehensive study,50,1081,False,True,False,False,False,True,False,False,False,6.9865664594064265,0.25
learn to trade forex and stocks from beginner to advanced,200,1645,False,True,False,False,False,True,False,False,False,7.406103381237015,1.0
master technical analysis and chart reading skills bundle,120,3348,False,True,False,False,False,True,False,False,False,8.116417072794205,0.6
naked put options trade covered call poor man covered call,200,939,False,True,False,False,False,True,False,False,False,6.84587987526405,1.0
the ultimate guide to dividend dividend growth investing,200,2115,False,True,False,False,False,True,False,False,False,7.65728279297819,1.0
charting for beginners 101 technical analysis demystified,45,2230,False,True,False,False,False,True,False,False,False,7.7102051944325325,0.225
build a dcf valuation model,50,2053,False,True,False,False,False,True,False,False,False,7.627544390488503,0.25
introductory financial accounting,80,1793,False,False,True,False,False,True,False,False,False,7.492203042618741,0.4
introduction to cryptocurrencies and blockchain,0,3775,False,False,True,False,False,True,False,False,False,8.236420527265391,0.0
trade pullback candlestick strategy make consistent pips,200,521,False,True,False,False,False,True,False,False,False,6.257667587882639,1.0
accounting standards basics professional course level,20,2222,False,True,False,False,False,True,False,False,False,7.706612913964197,0.1
use the magic multiple moving average forex trading system,50,1097,False,False,False,False,True,True,False,False,False,7.001245622069476,0.25
quickbooks 2015 training for newbies,200,2506,False,False,True,False,False,True,False,False,False,7.826842098158293,1.0
trading psychology trading mindset mastery,120,975,False,False,False,False,True,True,False,False,False,6.883462586413092,0.6
option trading how to adjust deltaneutral strangles,145,1398,False,True,False,False,False,True,False,False,False,7.243512974665482,0.725
profitable binary option trading strategy,195,1096,False,True,False,False,False,True,False,False,False,7.00033446027523,0.975
tax strategy financial planning for beginners,200,1703,False,True,False,False,False,True,False,False,False,7.440733707389261,1.0
accounting 2 simplified for you,45,1446,False,False,True,False,False,True,False,False,False,7.277247726631484,0.225
project funding modelling for professionals,20,2736,False,True,False,False,False,True,False,False,False,7.914617709040679,0.1
investing how i consistently beat the stock market,200,2000,False,True,False,False,False,True,False,False,False,7.601402334583733,1.0
bookkeeping basics understand the fundamentals,75,853,False,False,True,False,False,True,False,False,False,6.74993119378857,0.375
leasing a comprehensive study professional course level,20,3094,False,True,False,False,False,True,False,False,False,8.037543185118697,0.1
trading options for consistent returns options basics,0,4077,False,False,True,False,False,True,False,False,False,8.3133619511344,0.0
technitrader leading hybrid indicator trading,20,4117,False,False,False,False,True,True,False,False,False,8.323122887587735,0.1
financial modeling build a dcf equity valuation model,20,1369,False,True,False,False,False,True,False,False,False,7.222566018822171,0.1
cryptoarbitrager bitcoin trading robot no mining,150,1224,False,True,False,False,False,True,False,False,False,7.110696122978827,0.75
accounting is easy for beginners,20,3870,False,True,False,False,False,True,False,False,False,8.261268150577648,0.1
non directional weekly options trading system etf emini,200,897,False,True,False,False,False,True,False,False,False,6.8001700683022,1.0
the complete position trading course position trading stock,45,1311,False,True,False,False,False,True,False,False,False,7.179307969504034,0.225
master iron condors double the credit for half the risk,60,1338,False,False,False,True,False,True,False,False,False,7.199678345691172,0.3
basics of investing in mutual funds,20,1589,False,False,False,False,True,True,False,False,False,7.371489295214277,0.1
a value investing approach to the stock market,20,1189,False,True,False,False,False,True,False,False,False,7.081708586105575,0.1
learn how to invest for huge profits or make it big trading,50,701,False,True,False,False,False,True,False,False,False,6.553933404025811,0.25
how to fund your million dollar idea equity debt unfund,50,1105,False,False,False,False,True,True,False,False,False,7.00850518208228,0.25
mastering candlestick charting high probability trading,50,123,False,True,False,False,False,True,False,False,False,4.820281565605037,0.25
binary options course level 2,0,5874,False,False,False,False,True,True,False,False,False,8.67846133901236,0.0
stock technical analysis with r,50,354,False,True,False,False,False,True,False,False,False,5.872117789475416,0.25
get to know the vix index aka the fear index,60,727,False,True,False,False,False,True,False,False,False,6.590301048196686,0.3
apply finance concepts for smart project management,0,3465,False,False,True,False,False,True,False,False,False,8.150756470275551,0.0
introduction to futures trading and live trade demonstration,60,54,False,False,False,True,False,True,False,False,False,4.007333185232471,0.3
crowdfunding to win,40,627,False,True,False,False,False,True,False,False,False,6.4425401664681985,0.2
comprehensive forex mastery program,45,650,False,True,False,False,False,True,False,False,False,6.478509642208569,0.225
preparation of consolidated financial statements basic,0,965,False,False,False,False,True,True,False,False,False,6.873163834212518,0.0
succeed in bonds even if you dont know where to start,200,1113,False,True,False,False,False,True,False,False,False,7.01571242048723,1.0
learn to trade for profit ten most profitable trading rules,95,739,False,True,False,False,False,True,False,False,False,6.606650186198215,0.47500000000000003
succeed in lotto even if you dont know where to start,20,1201,False,True,False,False,False,True,False,False,False,7.091742115095153,0.1
cfa corporate finance level 2,50,2474,False,True,False,False,False,True,False,False,False,7.813995675002791,0.25
pin bars the most powerful forex trading signal,200,494,False,True,False,False,False,True,False,False,False,6.20455776256869,1.0
stock options trades using interactive brokers,95,1580,False,False,False,False,True,True,False,False,False,7.365812837209472,0.47500000000000003
introduction to options strategies for consistent profits,40,617,False,True,False,False,False,True,False,False,False,6.42648845745769,0.2
risk in forex transactions for ca cs cfa exams,20,2235,False,True,False,False,False,True,False,False,False,7.71244383427499,0.1
basics of business statistics college level,20,2293,False,True,False,False,False,True,False,False,False,7.738052297689316,0.1
trading seasonal price patterns in stocks futures forex,200,1094,False,False,True,False,False,True,False,False,False,6.9985096422506015,1.0
interpreting financial statements,20,1449,False,False,True,False,False,True,False,False,False,7.27931883541462,0.1
introduction to bookkeeping accounting,20,3251,False,False,True,False,False,True,False,False,False,8.087025470667701,0.1
credit spread surgery bear call and bull put mastery,60,607,False,False,False,False,True,True,False,False,False,6.410174881966167,0.3
investment banking how to land a job on wall street,75,1218,False,True,False,False,False,True,False,False,False,7.105786129481271,0.375
learn to invest in index funds and etfs in 7 easy steps,20,1132,False,True,False,False,False,True,False,False,False,7.0326242610280065,0.1
financial modeling build a multiples valuation model,20,656,False,True,False,False,False,True,False,False,False,6.48768401848461,0.1
trade recap i a real look at futures options markets,20,3339,False,False,True,False,False,True,False,False,False,8.113726085970747,0.1
advanced stock options for serious equity investors,200,1271,False,False,False,True,False,True,False,False,False,7.148345743900068,1.0
trading binary options for fun and profit,20,1574,False,True,False,False,False,True,False,False,False,7.362010551259734,0.1
cfa fast track your career in finance,20,1393,False,False,True,False,False,True,False,False,False,7.2399325913204695,0.1
how to be a profitable forex trader,20,1029,False,True,False,False,False,True,False,False,False,6.937314081223682,0.1
excel dashboard interactive excel dashboard and charts,30,843,False,True,False,False,False,True,False,False,False,6.738152494595957,0.15
accounting 101 learn business finance forecasting in 60mins,95,1730,False,True,False,False,False,True,False,False,False,7.456454555176209,0.47500000000000003
the securities trade lifecycle,50,1182,False,True,False,False,False,True,False,False,False,7.075808863978387,0.25
double your forex account using the magic ma trading robot,65,1160,False,False,False,False,True,True,False,False,False,7.057036981697891,0.325
technical analysis 101 how to profit during market crashes,95,1730,False,True,False,False,False,True,False,False,False,7.456454555176209,0.47500000000000003
advanced accounting for investment banking,50,1260,False,False,False,False,True,True,False,False,False,7.13966033596492,0.25
investing in stocks with 10 simple rules,95,871,False,True,False,False,False,True,False,False,False,6.77078942390898,0.47500000000000003
venture capital what is it and why it matters to you,50,1566,False,True,False,False,False,True,False,False,False,7.356918242356021,0.25
cash flow valuation develop your financial literacy,105,2987,False,True,False,False,False,True,False,False,False,8.002359546252707,0.525
directionindepend trading elite forex traders strategy,120,973,False,True,False,False,False,True,False,False,False,6.881411303642535,0.6
how to become a financial analyst from scratch,40,2177,False,False,True,False,False,True,False,False,False,7.686162303492906,0.2
first steps to trading the forexmarkets technical analysis,35,1772,False,False,True,False,False,True,False,False,False,7.480428306074208,0.17500000000000002
financial analysis compare performance of companies,20,1850,False,True,False,False,False,True,False,False,False,7.523481312573497,0.1
forex for beginners easy forex trading for beginners,0,1780,False,False,True,False,False,True,False,False,False,7.484930283289661,0.0
investment crowdfunding 101 aka equity crowdfunding,0,4607,False,False,True,False,False,True,False,False,False,8.435549202375727,0.0
read financial statements like a pro,50,12,False,False,False,False,True,True,False,False,False,2.5649493574615367,0.25
10 numbers every business owner should know,20,13,False,True,False,False,False,True,False,False,False,2.6390573296152584,0.1
learn how to trade gold in 2017,200,2,False,True,False,False,False,True,False,False,False,1.0986122886681098,1.0
ias 18 revenue,0,2571,False,True,False,False,False,True,False,False,False,7.85243908535751,0.0
forex trading the high roi forex trading end of day course,125,8,False,False,False,False,True,True,False,False,False,2.1972245773362196,0.625
fundraise the simplified way a crowdfunding blueprint,35,7,False,True,False,False,False,True,False,False,False,2.0794415416798357,0.17500000000000002
fundamentals of accounting for business owners,20,217,False,False,True,False,False,True,False,False,False,5.384495062789089,0.1
practical financial statement analysis,75,22,False,True,False,False,False,True,False,False,False,3.1354942159291497,0.375
forex management detailed study for ca cs cfa exams,50,131,False,True,False,False,False,True,False,False,False,4.882801922586371,0.25
financial statement review 101 how to find errors,30,5,False,False,True,False,False,True,False,False,False,1.791759469228055,0.15
professional risk manager prm certification level 1,50,116,False,True,False,False,False,True,False,False,False,4.762173934797756,0.25
international tax tax beyond boundaries,100,27,False,True,False,False,False,True,False,False,False,3.332204510175204,0.5
the complete financial statement analysis course,150,912,False,False,True,False,False,True,False,False,False,6.816735880594968,0.75
advanced excel functions,20,1964,False,True,False,False,False,True,False,False,False,7.583247524303362,0.1
penny stocks value chart pattern trading 2 course bundle,200,1033,False,False,True,False,False,True,False,False,False,6.9411900550683745,1.0
candlestick analysis for professional traders,95,913,False,False,False,True,False,True,False,False,False,6.81783057145415,0.47500000000000003
build a career in forex trading learn fundamental analysis,200,2092,False,True,False,False,False,True,False,False,False,7.646353722445999,1.0
financial modeling build a complete dcf valuation model,95,2240,False,True,False,False,False,True,False,False,False,7.714677473800927,0.47500000000000003
handson financial modeling with 6 excel templates,30,4601,False,False,False,False,True,True,False,False,False,8.434246270595311,0.15
caiib advanced bank management part i,25,2953,False,True,False,False,False,True,False,False,False,7.9909154630913255,0.125
stock market investmentnon financial fundamental analysis,125,1091,False,False,True,False,False,True,False,False,False,6.9957661563048505,0.625
learn how to play cashflow game,35,1459,False,False,True,False,False,True,False,False,False,7.286191714702382,0.17500000000000002
